Ticker,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,open,averageVolume10days,regularMarketDayLow,priceHint,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,bidSize,dayHigh,gmtOffSetMilliseconds,profitMargins,sharesOutstanding,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,shortRatio,floatShares,enterpriseValue,dateShortInterest,regularMarketPrice
FITB,1,23.1,22.73,20.139292,23.24,5259000,23.1,22.320833,22.73,5259000,22.57,2,6116417,16540255232,5454530,22.57,23.19,4000,6116417,31.64,11.1,23.22,1400,23.24,-18000000,0.23357001,712328000,13931570,0.0196,1577750400,1640908800,1601424000,2.17,709208003,31526256640,1602720000,22.73
DISCB,1,32.7,33.335,36.91312,33.35,1037,32.7,33.961665999999994,33.335,1037,31.52,2,1399,9337863168,878,31.52,38.44,900,1399,103.0,24.8,31.5,800,33.35,-18000000,0.12862,6512380,1819,0.0,1577750400,1640908800,1593475200,2.18,470016843,37779722240,1602720000,33.335
MLM,1,263.6,260.76,213.67291,269.78,515137,263.6,244.45,260.76,515137,259.29,2,604623,16585321472,604270,259.29,265.39,900,604623,281.82,135.08,265.47,900,269.78,-18000000,0.1407,62268900,2391661,0.038399998,1577750400,1640908800,1593475200,3.13,58614296,19744309248,1602720000,260.76
EFX,1,139.56,138.77,158.40248,140.28,1424762,139.56,156.96388000000005,138.77,1424762,135.98,2,1517833,16616434688,727880,135.98,164.38,900,1517833,181.76,103.01,136.57,900,140.28,-18000000,0.11288,121643000,2112535,0.0174,1577750400,1640908800,1601424000,3.75,121235451,19496028160,1602720000,138.77
CBRE,1,51.3,50.5,45.20461,51.055,1859787,51.3,47.899445,50.5,1859787,48.73,2,2150301,16898012160,1588640,48.73,61.48,1400,2150301,64.75,29.17,40.66,1100,51.055,-18000000,0.04723,335278016,6151359,0.0183,1577750400,1640908800,1593475200,4.19,324443098,19720552448,1602720000,50.5
TLK,1,17.25,17.18,20.286951,17.25,244050,17.25,18.393888,17.18,244050,16.9706,2,220010,17473329152,255256,16.9706,17.1,1100,220010,30.01,16.06,17.13,900,17.25,-18000000,0.13957,990622016,812667,0.0008,1577750400,1640908800,1593475200,2.91,441550018,16929732608,1602720000,17.18
COO,1,324.14,323.97,309.39566,327.36,198487,324.14,342.8264,323.97,198487,314.29,2,353014,17018254336,267881,314.29,317.63,800,353014,365.68,236.68,317.29,800,327.36,-18000000,0.113970004,53340400,704847,0.013200001,1572480000,1635638400,1596153600,3.11,48726542,17692239872,1602720000,323.97
TCOM,1,29.47,29.09,27.615248,29.36,3652025,29.47,30.185833,29.09,3652025,28.505,2,3672131,17056694272,4046275,28.505,28.75,1100,3672131,38.95,20.1,28.76,1800,29.36,-18000000,-0.113400005,593070016,11777035,0.0199,1577750400,1640908800,1593475200,2.97,456235683,17248804864,1602720000,29.09
CAG,1,35.225,35.02,35.54603,35.3467,2611637,35.225,36.23611,35.02,2611637,34.725,2,2417041,17142096896,2702092,34.725,35.27,900,2417041,39.34,22.83,35.1,900,35.3467,-18000000,0.087749995,488518016,7907783,0.0162,1590883200,1653955200,1598745600,2.64,486339282,26683099136,1602720000,35.02
IP,1,43.84,43.73,37.005814,44.13800000000001,2541862,43.84,42.75611,43.73,2541862,43.19,2,2387507,17197817856,3060523,43.19,43.32,900,2387507,47.64,26.38,43.32,800,44.13800000000001,-18000000,0.029790001,393092992,11834007,0.0301,1577750400,1640908800,1593475200,3.61,391665930,26246811648,1602720000,43.73
EPAM,1,317.02,315.25,275.97617,319.24,192275,317.02,330.68277,315.25,192275,306.3,2,219577,17255661568,283398,306.3,308.13,800,219577,356.48,151.97,307.43,1100,319.24,-18000000,0.11727,55852600,875659,0.015700001,1577750400,1640908800,1593475200,2.75,53899989,16469596160,1602720000,315.25
CCC,1,28.09,27.84,26.043333,28.39,1804637,28.09,30.183056,27.84,1804637,27.4,2,2203858,16815306752,1117361,27.4,27.65,1000,2203858,33.55,15.0,26.7,1000,28.39,-18000000,-0.18749,626184000,1835509,0.0029,1577750400,1640908800,1601424000,1.69,401173641,18242654208,1602720000,27.84
BIO,1,568.03,567.54,492.81134,598.06,151975,568.03,539.8961,567.54,151975,567.54,2,234986,17427288064,161498,567.54,586.78,900,234986,598.06,309.38,405.0,1000,598.06,-18000000,1.4791299,24586400,449618,0.0152,1577750400,1640908800,1601424000,3.15,21221686,16707878912,1602720000,567.54
TEF,1,3.36,3.3,4.328936,3.32,1752662,3.36,3.6283333,3.3,1752662,3.26,4,1975448,17152315392,1890226,3.26,3.31,2200,1975448,7.73,3.22,3.3,28000,3.32,-18000000,0.00397,5250869760,5568970,0.0011,1577750400,1640908800,1593475200,2.46,5155569919,17147701248,1602720000,3.3
CQP,1,36.33,35.93,34.984398,36.5,94787,36.33,34.846943,35.93,94787,35.64,2,100720,17448812544,191841,35.64,37.45,900,100720,44.98,17.75,36.01,800,36.5,-18000000,0.21287,484016992,2201326,0.0045,1577750400,1640908800,1593475200,10.15,40846163,33652799488,1602720000,35.93
CDW,1,120.95,119.94,114.59,123.1984,593900,120.95,121.29833,119.94,593900,118.6071,2,1147024,17491341312,767378,118.6071,145.0,800,1147024,146.09,73.39,121.1,900,123.1984,-18000000,0.040900003,142670000,1721723,0.0121,1577750400,1640908800,1593475200,2.13,141164494,21049499648,1602720000,119.94
EQR,1,46.26,46.24,57.45213,47.14,3377950,46.26,52.602776,46.24,3377950,46.14,2,2843414,17487788032,2693052,46.14,47.24,800,2843414,87.94,45.43,47.04,800,47.14,-18000000,0.35971,372239008,10336467,0.0278,1577750400,1640908800,1601424000,3.53,367604870,26603753472,1602720000,46.24
VIAC,1,28.13,27.8,24.352636,28.59,9009950,28.13,28.739166,27.8,9009950,27.661,2,12166087,17667631104,9552086,27.661,28.5,1200,12166087,43.04,10.1,28.4,3000,28.59,-18000000,0.05163,563771008,101918319,0.16540001,1577750400,1640908800,1593475200,10.49,549783006,38146203648,1602720000,27.8
OXY,1,9.13,9.0,14.222341,9.1899,24769387,9.13,10.299723,9.0,24769387,8.8512,2,22855848,8492196864,24823513,8.8512,9.13,900,22855848,47.58,8.52,9.05,4000,9.1899,-18000000,-0.5614600000000001,930142016,45449645,0.048899997,1577750400,1640908800,1593475200,1.71,927612166,58937196544,1602720000,9.0
TTWO,1,162.77,162.46,151.02028,162.77,1018662,162.77,163.30638000000005,162.46,1018662,153.96,2,1680471,17713397760,1243789,153.96,156.91,900,1680471,180.61,100.0,154.79,800,162.77,-18000000,0.13216,114339000,3319125,0.029000001,1585612800,1648684800,1593475200,2.99,108259685,14748641280,1602720000,162.46
HOLX,1,70.5,70.45,59.15943000000001,71.02,1822162,70.5,66.255554,70.45,1822162,67.71,2,2228798,17823346688,2111481,67.71,69.22,1000,2228798,73.63,26.49,68.82,1200,71.02,-18000000,0.15075,258984992,3457652,0.0134000005,1569628800,1632787200,1593216000,1.97,256675094,20519364608,1602720000,70.45
FTNT,1,118.0,118.08,128.22595,118.08,1607562,118.0,121.59167,118.08,1607562,106.75,2,4300530,17861398528,1336138,106.75,110.74,1200,4300530,151.95,70.2,109.16,1800,118.08,-18000000,0.18505,161832000,5117908,0.031600002,1577750400,1640908800,1601424000,4.31,137559681,16234276864,1602720000,118.08
MPLX,1,17.02,16.89,17.76298,17.22,2436575,17.02,16.842776999999998,16.89,2436575,16.76,2,2315113,17901324288,2676444,16.76,17.22,900,2315113,27.36,6.87,17.2,900,17.22,-18000000,-0.22902,1040169984,18571743,0.0179,1577750400,1640908800,1593475200,6.56,343268068,41110093824,1602720000,16.89
ZS,1,142.56,140.76,115.60138,141.384,1452675,142.56,142.74931,140.76,1452675,133.83,2,1706693,18041989120,2265967,133.83,135.48,800,1706693,163.8,35.0,135.36,1100,141.384,-18000000,-0.26692,130518000,7496887,0.056399997,1596153600,1659225600,1596153600,3.56,66279057,17576699904,1602720000,140.76
