Ticker,zip,sector,fullTimeEmployees,city,phone,state,country,website,maxAge,address1,fax,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,toCurrency,lastDividendDate
FITB,45263,Financial Services,20283.0,Cincinnati,800-972-3030,OH,United States,http://www.53.com,1,Fifth Third Center,513-534-0629,Banks—Regional,38 Fountain Square Plaza,23.1,22.73,20.139292,0.045454543,0.525,,23.24,,5259000,,23.1,22.320833,1.05,22.73,5259000,,,,1.08,1601510400.0,1.66685,,,22.57,2,USD,11.59261,6116417,,,,16540255232,,,5454530,2.4812865,22.57,23.19,,4000,6116417,31.64,10.554544,,2.91,11.1,23.22,False,0.0465,1400,23.24,NMS,Fifth Third Bancorp,Fifth Third Bancorp,America/New_York,EST,True,-18000000,,EQUITY,FITB,,,finmb_270961,d1308428-6d07-3634-a9db-5e60d0807a23,us_market,,4.729,,0.23357001,,,,2.2,,712328000,,,29.249000000000002,13931570,0.0196,,1577750400,0.8001699999999999,1447000064.0,2.003,,,0.79387325,0.0029499999,1640908800,1601424000,2.17,1600128000.0,709208003,31526256640,,963792000.0,3:2,,,0.057999999999999996,1602720000,-5.46,,0.0217,9737689.0,,,22.73,https://logo.clearbit.com/53.com,,
DISCB,20910,Communication Services,9200.0,Silver Spring,240-662-2000,MD,United States,http://corporate.discovery.com,1,8403 Colesville Road,,Entertainment,,32.7,33.335,36.91312,,0.0,,33.35,,1037,,32.7,33.961665999999994,,33.335,1037,,,,,,1.388858,,,31.52,2,USD,18.400467000000003,1399,,,,9337863168,,,878,0.8665425999999999,31.52,38.44,,900,1399,103.0,,,,24.8,31.5,False,,800,33.35,NMS,"Discovery, Inc. - Series B","Discovery, Inc.",America/New_York,EST,False,-18000000,,EQUITY,DISCB,,,finmb_22666093,129e1236-33ca-33df-a61c-509bfafad054,us_market,,3.5060000000000002,,0.12862,8.435,,,,,6512380,,,14.639000000000001,1819,0.0,,1577750400,0.12747999999999998,1231000064.0,1.713,,,2.1531525,0.95083,1640908800,1593475200,2.18,1600128000.0,470016843,37779722240,,1407369600.0,195:100,,,-0.7140000000000001,1602720000,,,0.0057,3243.0,,,33.335,https://logo.clearbit.com/corporate.discovery.com,,
MLM,27607-3033,Basic Materials,8846.0,Raleigh,919 781 4550,NC,United States,http://www.martinmarietta.com,1,2710 Wycliff Road,,Building Materials,,263.6,260.76,213.67291,0.008345978,0.2211,,269.78,,515137,,263.6,244.45,2.2,260.76,515137,,,,2.28,1598832000.0,0.8019850000000001,,,259.29,2,USD,26.7554,604623,,,,16585321472,,,604270,3.7452176,259.29,265.39,,900,604623,281.82,26.08717,,0.89,135.08,265.47,False,0.0086,900,269.78,NYQ,"Martin Marietta Materials, Inc.","Martin Marietta Materials, Inc.",America/New_York,EST,True,-18000000,,EQUITY,MLM,,,finmb_31153,1a59c1f4-2edf-3d4f-b570-194d65d6d5bb,us_market,,4.459,,0.1407,15.387,,,10.21,,62268900,,,88.14,2391661,0.038399998,,1577750400,0.99016,622499968.0,9.955,,,3.021897,0.0064600003,1640908800,1593475200,3.13,1600128000.0,58614296,19744309248,,,,,,0.14800000000000002,1602720000,4.61,,0.0434,2663504.0,,,260.76,https://logo.clearbit.com/martinmarietta.com,,
EFX,30309,Industrials,11000.0,Atlanta,404-885-8000,GA,United States,http://www.equifax.com,1,"1550 Peachtree Street, NW",,Consulting Services,,139.56,138.77,158.40248,0.011177988,0.4321,,140.28,,1424762,,139.56,156.96388000000002,1.56,138.77,1424762,,,,1.56,1598227200.0,1.166023,,,135.98,2,USD,37.77655,1517833,,,,16616434688,,,727880,4.2444086,135.98,164.38,,900,1517833,181.76,21.377153,,1.16,103.01,136.57,False,0.0114,900,140.28,NYQ,"Equifax, Inc.",Equifax Inc.,America/New_York,EST,True,-18000000,,EQUITY,EFX,,,finmb_175749,35a1c087-ccaf-39b7-9675-3e5a0a0c4cb2,us_market,,4.98,,0.11288,18.734,,,6.39,,121643000,,,24.087,2112535,0.0174,,1577750400,0.99074,441900000.0,3.616,,,5.6711089999999995,0.00418,1640908800,1601424000,3.75,1600128000.0,121235451,19496028160,,819244800.0,2:1,,,1.764,1602720000,2.94,,0.0196,2189333.0,,,138.77,https://logo.clearbit.com/equifax.com,,
CBRE,90071,Real Estate,100000.0,Los Angeles,213-613-3333,CA,United States,http://www.cbre.com,1,400 South Hope Street,,Real Estate Services,25th Floor,51.3,50.5,45.204609999999995,,0.0,,51.055,,1859787,,51.3,47.899445,,50.5,1859787,,,,,,1.613348,,,48.73,2,USD,14.889217000000002,2150301,,,,16898012160,,,1588640,0.6949607,48.73,61.48,,1400,2150301,64.75,16.800001,,,29.17,40.66,False,,1100,51.055,NYQ,CBRE Group Inc,"CBRE Group, Inc.",America/New_York,EST,True,-18000000,,EQUITY,CBRE,,,finmb_4204816,0d5e0220-0b35-3f33-95ee-5a09890d063e,us_market,,0.8109999999999999,,0.04723,11.331,,,3.0,,335278016,,,19.064,6151359,0.0183,,1577750400,0.96325994,1148308992.0,3.385,,,2.6437266,0.008409999999999999,1640908800,1593475200,4.19,1600128000.0,324443098,19720552448,,1149206400.0,3:1,,,-0.634,1602720000,2.05,,0.022000000000000002,8056040.0,,,50.5,https://logo.clearbit.com/cbre.com,,
TLK,40133,Communication Services,24272.0,Bandung,62 22 452 1404,,Indonesia,http://www.telkom.co.id,1,Jalan Japati No. 1,62 22 720 6757,Telecom Services,,17.25,17.18,20.286951000000002,0.00052173913,0.0,,17.25,,244050,,17.25,18.393888,0.009000000000000001,17.18,244050,,,,0.79,1594252800.0,0.11870599999999999,,,16.9706,2,USD,13.146154000000001,220010,,,,17473329152,,,255256,,16.9706,17.1,,1100,220010,30.01,7.561947,,2.91,16.06,17.13,False,0.0464,900,17.25,NYQ,"PT Telekomunikasi Indonesia, Tb",Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,America/New_York,EST,False,-18000000,,EQUITY,TLK,,,finmb_400368,b46e91bd-1b39-3fae-be83-5b456d35b374,us_market,,,,0.13957,,,,2.26,,990622016,,,6.4,812667,0.0008,,1577750400,0.04301,,1.3,,,2.6703124,0.0,1640908800,1593475200,2.91,1600128000.0,441550018,16929732608,,1477440000.0,2:1,,,0.055999999999999994,1602720000,,,,1013599.0,,,17.18,https://logo.clearbit.com/telkom.co.id,,
COO,94583,Healthcare,12000.0,San Ramon,925-460-3600,CA,United States,http://www.coopercos.com,1,6101 Bollinger Canyon Road,,Medical Instruments & Supplies,Suite 500,324.14,323.97,309.39566,0.0001851052,0.0107,,327.36,,198487,,324.14,342.8264,0.06,323.97,198487,,,,0.06,1595376000.0,0.820739,,,314.29,2,USD,56.993565000000004,353014,,,,17018254336,,,267881,6.9721227,314.29,317.63,,800,353014,365.68,25.241297,,0.03,236.68,317.29,False,0.0002,800,327.36,NYQ,"The Cooper Companies, Inc.","The Cooper Companies, Inc.",America/New_York,EST,True,-18000000,,EQUITY,COO,,,finmb_263609,c9cdddf9-eb2c-37dc-810f-f7ed751c0c13,us_market,,7.247999999999999,,0.113970004,25.34,,,12.64,,53340400,,,76.582,704847,0.013200001000000001,,1572480000,0.9291200000000001,278200000.0,5.598,,,4.1661224,0.0052899999999999996,1635638400,1596153600,3.11,1600128000.0,48726542,17692239872,,1038182400.0,2:1,,,-0.54,1602720000,3.38,,0.0168,740192.0,,,323.97,https://logo.clearbit.com/coopercos.com,,
TCOM,200335,Consumer Cyclical,44300.0,Shanghai,86 21 3406 4880,,China,http://www.trip.com,1,968 Jin Zhong Road,,Travel Services,,29.47,29.09,27.615247999999998,,0.0,,29.36,,3652025,,29.47,30.185833000000002,,29.09,3652025,,,,,1213056000.0,1.555432,,,28.505,2,USD,,3672131,,,,17056694272,,,4046275,,28.505,28.75,,1100,3672131,38.95,,,,20.1,28.76,False,,1800,29.36,NMS,Trip.com Group Limited,Trip.com Group Limited,America/New_York,EST,True,-18000000,,EQUITY,TCOM,,,finmb_691187,4daae8b0-cd65-3d39-93be-22d3e61b9b4e,us_market,,,,-0.113400005,,,,,,593070016,,,,11777035,0.0199,,1577750400,0.63583,,,,,,0.0437,1640908800,1593475200,2.97,1600128000.0,456235683,17248804864,,1449014400.0,2:1,,,,1602720000,-384.12,,,12705156.0,,,29.09,https://logo.clearbit.com/trip.com,,
CAG,60654,Consumer Defensive,16500.0,Chicago,312 549 5000,IL,United States,http://www.conagrabrands.com,1,222 West Merchandise Mart Plaza,,Packaged Foods,Suite 1300,35.225,35.02,35.54603,0.02413059,0.41869998,,35.3467,,2611637,,35.225,36.23611,0.85,35.02,2611637,,,,1.1,1604016000.0,0.792608,,,34.725,2,USD,17.285715,2417041,,,,17142096896,,,2702092,1.5113021999999998,34.725,35.27,,900,2417041,39.34,13.548263,,2.56,22.83,35.1,False,0.0313,900,35.3467,NYQ,"ConAgra Brands, Inc.","Conagra Brands, Inc.",America/New_York,EST,True,-18000000,,EQUITY,CAG,,,finmb_26893,10713761-5158-3557-82ad-d91fa8e2249e,us_market,,2.352,,0.087749995,11.289000000000001,,,2.59,,488518016,,,16.625,7907783,0.0162,,1590883200,0.88025004,995299968.0,2.03,,,2.1106768,0.00317,1653955200,1598745600,2.64,1600128000.0,486339282,26683099136,,1478736000.0,1285:1000,,,0.893,1602720000,1.98,,0.0215,7590374.0,,,35.02,https://logo.clearbit.com/conagrabrands.com,,
IP,38197,Consumer Cyclical,50000.0,Memphis,901-419-9000,TN,United States,http://www.internationalpaper.com,1,6400 Poplar Avenue,,Packaging & Containers,,43.84,43.73,37.005814,0.046487227,1.2655001000000001,,44.138000000000005,,2541862,,43.84,42.75611,2.0380000000000003,43.73,2541862,,,,2.05,1605225600.0,1.178157,,,43.19,2,USD,27.190802,2387507,,,,17197817856,,,3060523,0.80801624,43.19,43.32,,900,2387507,47.64,12.7923975,,4.17,26.38,43.32,False,0.0469,800,44.138000000000005,NYQ,International Paper Company,International Paper Company,America/New_York,EST,True,-18000000,,EQUITY,IP,,,finmb_61036,a12a3079-e14c-3d46-a69b-a52b8a90b21a,us_market,,1.2329999999999999,,0.029790001,7.784,,,3.42,,393092992,,,17.952,11834007,0.0301,,1577750400,0.85026,634000000.0,1.609,,,2.4370543999999996,0.0023899999999999998,1640908800,1593475200,3.61,1600128000.0,391665930,26246811648,,1404259200.0,1014:1000,,,-0.08900000000000001,1602720000,10.1,,0.0369,14368488.0,,,43.73,https://logo.clearbit.com/internationalpaper.com,,
