Ticker,sector,country
FITB,Financial Services,United States
DISCB,Communication Services,United States
MLM,Basic Materials,United States
EFX,Industrials,United States
CBRE,Real Estate,United States
TLK,Communication Services,Indonesia
COO,Healthcare,United States
TCOM,Consumer Cyclical,China
CAG,Consumer Defensive,United States
IP,Consumer Cyclical,United States
EPAM,Technology,United States
CCC,Technology,United Kingdom
BIO,Healthcare,United States
TEF,Communication Services,Spain
CQP,Energy,United States
CDW,Technology,United States
EQR,Real Estate,United States
VIAC,Communication Services,United States
OXY,Energy,United States
TTWO,Communication Services,United States
HOLX,Healthcare,United States
FTNT,Technology,United States
MPLX,Energy,United States
ZS,Technology,United States
IQ,Communication Services,China
CMS,Utilities,United States
RYAAY,Industrials,Ireland
CAJ,Technology,Japan
FTS,Utilities,Canada
VIACA,Communication Services,United States
COUP,Technology,United States
FLT,Technology,United States
MXIM,Technology,United States
EXAS,Healthcare,United States
GWW,Industrials,United States
GDRX,Healthcare,United States
CNQ,Energy,Canada
CHU,Communication Services,Hong Kong
NOK,Technology,Finland
INCY,Healthcare,United States
ROL,Consumer Cyclical,United States
PCG,Utilities,United States
DB,Financial Services,Germany
KKR,Financial Services,United States
AEM,Basic Materials,Canada
VMC,Basic Materials,United States
MPC,Energy,United States
SPG,Real Estate,United States
FMX,Consumer Defensive,Mexico
BBVA,Financial Services,Spain
AMP,Financial Services,United States
NWG,Financial Services,United Kingdom
LH,Healthcare,United States
DAL,Industrials,United States
AVB,Real Estate,United States
ABC,Healthcare,United States
KEYS,Technology,United States
IBKR,Financial Services,United States
AJG,Financial Services,United States
NDAQ,Financial Services,United States
GRMN,Technology,Switzerland
DFS,Financial Services,United States
EOG,Energy,United States
O,Real Estate,United States
AEE,Utilities,United States
WST,Healthcare,United States
Z,Communication Services,United States
YNDX,Communication Services,Netherlands
ETR,Utilities,United States
ZG,Communication Services,United States
BNTX,Healthcare,Germany
WY,Real Estate,United States
PSX,Energy,United States
ARE,Real Estate,United States
MKTX,Financial Services,United States
RCI,Communication Services,Canada
WPM,Basic Materials,Canada
FTV,Technology,United States
STT,Financial Services,United States
SLB,Energy,United States
TSN,Consumer Defensive,United States
PANW,Technology,United States
PPL,Utilities,United States
EIX,Utilities,United States
PAYC,Technology,United States
CERN,Healthcare,United States
DLTR,Consumer Defensive,United States
FRC,Financial Services,United States
VRSN,Technology,United States
CHD,Consumer Defensive,United States
LEN,Consumer Cyclical,United States
TU,Communication Services,Canada
GMAB,Healthcare,Denmark
XP,Financial Services,Brazil
RPRX,Healthcare,United States
YUMC,Consumer Cyclical,China
ODFL,Industrials,United States
WELL,Real Estate,United States
AME,Industrials,United States
LYB,Basic Materials,United States
CS,Financial Services,Switzerland
RNG,Technology,United States
NTR,Basic Materials,Canada
FMS,Healthcare,Germany
WMB,Energy,United States
SLF,Financial Services,Canada
LUV,Industrials,United States
WLTW,Financial Services,United Kingdom
SWKS,Technology,United States
W,Consumer Cyclical,United States
DTE,Utilities,United States
AFL,Financial Services,United States
MCK,Healthcare,United States
MTD,Healthcare,United States
BCS,Financial Services,United Kingdom
MKC,Consumer Defensive,United States
DHI,Consumer Cyclical,United States
SIRI,Communication Services,United States
HLT,Consumer Cyclical,United States
GLW,Technology,United States
HPQ,Technology,United States
CTVA,Basic Materials,United States
E,Energy,Italy
ZTO,Industrials,China
FAST,Industrials,United States
LYG,Financial Services,United Kingdom
MRVL,Technology,Bermuda
FCX,Basic Materials,United States
ROKU,Communication Services,United States
ALXN,Healthcare,United States
LBRDA,Communication Services,United States
PRU,Financial Services,United States
CHA,Communication Services,Hong Kong
CHWY,Consumer Cyclical,United States
LBRDK,Communication Services,United States
ADM,Consumer Defensive,United States
EDU,Consumer Defensive,China
TDG,Industrials,United States
FNV,Basic Materials,Canada
CPRT,Industrials,United States
APTV,Consumer Cyclical,Ireland
WCN,Industrials,United States
ANSS,Technology,United States
CLX,Consumer Defensive,United States
AZO,Consumer Cyclical,United States
VFC,Consumer Cyclical,United States
ED,Utilities,United States
HRL,Consumer Defensive,United States
MFC,Financial Services,Canada
TTD,Technology,United States
MCHP,Technology,United States
OTIS,Industrials,United States
ING,Financial Services,Netherlands
MRNA,Healthcare,United States
SWK,Industrials,United States
PH,Industrials,United States
MSI,Technology,United States
BGNE,Healthcare,China
OKTA,Technology,United States
KMI,Energy,United States
AIG,Financial Services,United States
CRWD,Technology,United States
AWK,Utilities,United States
ZBH,Healthcare,United States
ROK,Industrials,United States
DDOG,Technology,United States
WIT,Technology,India
STM,Technology,Switzerland
CRH,Basic Materials,Ireland
ALL,Financial Services,United States
ALC,Healthcare,Switzerland
RMD,Healthcare,United States
RSG,Industrials,United States
SYY,Consumer Defensive,United States
HSY,Consumer Defensive,United States
TROW,Financial Services,United States
BBY,Consumer Cyclical,United States
VRSK,Industrials,United States
CARR,Industrials,United States
SGEN,Healthcare,United States
BLL,Consumer Cyclical,United States
XLNX,Technology,United States
MSCI,Financial Services,United States
CHT,Communication Services,Taiwan
PEG,Utilities,United States
WBA,Healthcare,United States
IQV,Healthcare,United States
PCAR,Industrials,United States
PAYX,Industrials,United States
ORAN,Communication Services,France
ES,Utilities,United States
MAR,Consumer Cyclical,United States
ROST,Consumer Cyclical,United States
BK,Financial Services,United States
CDNS,Technology,United States
COP,Energy,United States
KLAC,Technology,United States
DXCM,Healthcare,United States
PPG,Basic Materials,United States
F,Consumer Cyclical,United States
BBD,Financial Services,Brazil
JCI,Industrials,Ireland
MFG,Financial Services,Japan
A,Healthcare,United States
CVNA,Consumer Cyclical,United States
WEC,Utilities,United States
SPLK,Technology,United States
TT,Industrials,Ireland
PUK,Financial Services,United Kingdom
TEL,Technology,Switzerland
